                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5377,                 1.2741,                 1.6638,                0.73775,                    0.5,                0.47973,                0.39838,                 1.6957,                 2.2689,                 2.0505,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6036,                 1.6433,                 1.8918,                0.73775,                    0.5,                0.47973,                0.39838,                 1.6957,                 2.2689,                 2.0505,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4965,                 1.2862,                  1.678,                0.56742,                  0.375,                0.28365,                0.07359,                 3.4194,                 3.3614,                 3.4325,               0.001109,               0.001109,               0.001109
                     48,                 1.4723,                 1.2997,                 1.7935,                0.56742,                  0.375,                0.28365,                0.07359,                 3.4194,                 3.3614,                 3.4325,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.4052,                  1.308,                 1.6686,                0.50963,                  0.375,                0.32906,                0.08929,                 3.2587,                 3.2682,                 3.2963,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4132,                 1.2756,                 1.7162,                0.50963,                  0.375,                0.32906,                0.08929,                 3.2587,                 3.2682,                 3.2963,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5317,                 1.3299,                 1.7721,                0.65986,                0.72959,                0.67878,                  0.379,                 1.6772,                 1.9883,                 1.9863,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2842,                 1.1767,                 1.5887,                0.65986,                0.72959,                0.67878,                  0.379,                 1.6772,                 1.9883,                 1.9863,                0.00101,                0.00101,                0.00101
                     53,                 1.5058,                 1.3263,                 1.7395,                0.73862,                   0.75,                 0.7783,                0.53959,                  1.352,                 1.6199,                 1.8261,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.4231,                 1.2787,                 1.7314,                0.73862,                   0.75,                 0.7783,                0.53959,                  1.352,                 1.6199,                 1.8261,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.4519,                 1.3166,                 1.6491,                 0.9721,                  0.625,                0.84833,                0.61093,                 1.1843,                 1.3081,                 1.7077,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2978,                 1.2394,                 1.6831,                 0.9721,                  0.625,                0.84833,                0.61093,                 1.1843,                 1.3081,                 1.7077,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2569,                 1.1579,                 1.5767,                0.97072,                   0.75,                0.86083,                 0.6225,                 1.1729,                 1.5386,                 1.7493,               0.000911,               0.000911,               0.000911
                     58,                 1.4642,                 1.2984,                 1.6828,                0.97072,                   0.75,                0.86083,                 0.6225,                 1.1729,                 1.5386,                 1.7493,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4356,                 1.3532,                 1.7168,                0.96341,                   0.75,                0.87708,                0.65676,                 1.1059,                 1.4562,                 1.7039,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3579,                 1.2383,                 1.5878,                0.96341,                   0.75,                0.87708,                0.65676,                 1.1059,                 1.4562,                 1.7039,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2236,                 1.2167,                 1.5732,                0.96102,                   0.75,                0.83087,                0.66239,                 1.0798,                 1.3117,                 1.6339,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2885,                 1.1739,                 1.5784,                0.96102,                   0.75,                0.83087,                0.66239,                 1.0798,                 1.3117,                 1.6339,               0.000812,               0.000812,               0.000812
                     63,                 1.3234,                 1.2056,                 1.5857,                      1,                0.74074,                0.82297,                0.63391,                0.99178,                 1.2093,                 1.5771,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1942,                 1.1008,                 1.4597,                      1,                0.74074,                0.82297,                0.63391,                0.99178,                 1.2093,                 1.5771,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.248,                  1.185,                 1.5616,                      1,                0.73773,                0.81604,                0.67062,                 1.0308,                 1.1668,                 1.6108,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2036,                 1.0722,                  1.533,                      1,                0.73773,                0.81604,                0.67062,                 1.0308,                 1.1668,                 1.6108,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2307,                 1.1057,                 1.5298,                      1,                 0.7291,                0.81379,                0.66557,                 1.0147,                 1.2578,                 1.5964,               0.000713,               0.000713,               0.000713
